store,order_id,city,state,shipping_charged,order_total,Clean_State
victus,9905,,BO-L,0,59.99,La Paz
victus,9906,,BO-S,0,186.99,Santa Cruz
victus,9907,,BO-C,0,260.0,Cochabamba
victus,9909,,BO-C,0,196.99,Cochabamba
victus,9911,,BO-C,0,59.99,Cochabamba
victus,9912,,BO-C,0,59.99,Cochabamba
victus,9913,,,0,137.0,Santa Cruz
victus,9914,,,0,172.99,Santa Cruz
victus,9915,,,0,129.99,Santa Cruz
victus,9916,,BO-L,0,256.98,La Paz
victus,9917,,,0,159.98,Santa Cruz
victus,9918,,,0,113.0,Santa Cruz
victus,9919,,BO-S,0,309.96,Santa Cruz
victus,9920,,,0,381.99,Santa Cruz
victus,9930,,BO-L,0,59.99,La Paz
victus,10415,,BO-S,0,240.0,Santa Cruz
victus,10501,,BO-S,0,349.97,Santa Cruz
victus,10502,,,0,59.99,Santa Cruz
victus,10503,,BO-T,0,59.99,Tarija
victus,10529,,,0,149.99,Santa Cruz
victus,10567,,,0,59.99,Santa Cruz
victus,10570,,BO-C,0,230.0,Cochabamba
victus,10574,,BO-L,0,209.98,La Paz
victus,10575,,BO-C,0,69.99,Cochabamba
victus,10576,,BO-H,0,748.5,Chuquisaca
victus,10577,,,0,149.99,Santa Cruz
victus,10578,,BO-C,0,69.99,Cochabamba
victus,10584,,,0,69.99,Santa Cruz
victus,10587,,BO-C,0,219.98,Cochabamba
victus,10600,,BO-L,0,381.99,La Paz
victus,10608,,BO-L,15,84.99,La Paz
victus,10609,,,0,299.98,Santa Cruz
victus,10622,,BO-L,20,239.98,La Paz
victus,10623,,BO-B,15,224.98,Beni
victus,10625,,BO-C,15,144.98,Cochabamba
victus,10627,,,15,314.98,Santa Cruz
victus,10628,,BO-L,15,74.99,La Paz
victus,10629,,BO-H,15,314.98,Chuquisaca
victus,10636,,BO-L,15,204.98,La Paz
victus,10638,,,15,154.98,Santa Cruz
victus,10643,,BO-C,15,154.99,Cochabamba
victus,10644,,,15,204.98,Santa Cruz
victus,10645,,,15,162.0,Santa Cruz
victus,10651,,,0,2197.9,Santa Cruz
victus,10652,,BO-L,15,74.99,La Paz
victus,10657,,BO-H,15,164.99,Chuquisaca
victus,10661,,,15,454.96,Santa Cruz
victus,10663,,,15,164.99,Santa Cruz
victus,10665,,BO-S,15,454.96,Santa Cruz
victus,10666,,BO-S,15,84.99,Santa Cruz
victus,10667,,BO-T,15,84.99,Tarija
victus,10668,,BO-T,15,134.98,Tarija
victus,10669,,BO-L,15,204.98,La Paz
victus,10673,,BO-B,0,69.99,Beni
victus,10675,,BO-S,15,84.99,Santa Cruz
victus,10678,sucre,BO-H,15,164.99,Chuquisaca
victus,10680,,BO-S,15,314.98,Santa Cruz
victus,10683,,BO-L,0,69.99,La Paz
victus,10688,,BO-S,15,74.99,Santa Cruz
victus,10689,Monteagudo,,36,405.97,Santa Cruz
victus,10691,Trinidad,BO-B,15,134.98,Beni
victus,10693,,BO-S,15,144.99,Santa Cruz
victus,10697,,BO-S,0,401.99,Santa Cruz
victus,10699,,BO-C,15,279.99,Cochabamba
victus,10702,,BO-L,15,84.99,La Paz
victus,10705,Trinidad,BO-B,15,154.98,Beni
victus,10706,,BO-S,15,194.97,Santa Cruz
victus,10718,,,0,149.99,Santa Cruz
victus,10721,,BO-T,15,584.95,Tarija
victus,10727,,,15,74.99,Santa Cruz
victus,10730,,,15,209.99,Santa Cruz
